business_id,score,date
52206,99,3/12/15
30941,93,10/16/14
30941,97,10/16/14
30941,100,4/22/15
30944,99,6/11/14
30944,93,11/25/14
30944,100,11/25/14
30944,100,5/20/15
31984,99,9/15/14
31984,95,3/4/15
96527,100,12/10/14
90866,100,6/19/14
90866,98,12/29/14
32252,97,7/31/14
32252,91,1/21/15
31107,96,6/16/14
31107,94,12/18/14
31107,98,12/18/14
31312,95,11/5/14
31312,96,5/13/15
49627,100,10/21/14
49627,96,4/2/15
49627,100,4/15/15
78924,100,11/20/14
93252,100,12/23/14
30909,98,9/29/14
30909,100,4/8/15
92402,100,10/28/14
92402,100,4/24/15
82113,100,9/5/14
82113,92,3/2/15
82113,97,3/2/15
66548,100,6/23/14
66548,100,12/8/14
66548,99,5/15/15
76795,100,9/4/14
76795,100,10/7/14
76795,96,4/3/15
85947,91,8/14/14
85947,96,8/26/14
85947,100,9/5/14
85947,98,3/17/15
75004,93,8/4/14
75004,100,8/8/14
75004,94,1/26/15
75004,98,1/26/15
32996,100,6/11/14
32996,100,11/24/14
32996,100,5/19/15
73758,100,9/10/14
73758,94,3/11/15
54656,100,12/15/14
30915,93,12/8/14
30915,98,12/8/14
30956,92,8/4/14
30956,90,1/13/15
30956,90,1/27/15
32044,99,9/19/14
32044,99,3/4/15
71625,100,9/9/14
71625,100,2/23/15
71992,99,10/22/14
71992,98,5/20/15
31370,94,7/10/14
31370,95,1/7/15
31370,99,1/7/15
96283,100,9/18/14
96283,100,10/28/14
96283,99,4/29/15
47138,98,6/12/14
47138,97,11/25/14
32450,99,10/3/14
32450,98,4/1/15
69336,100,6/27/14
69336,98,1/14/15
30925,100,7/17/14
30925,100,1/9/15
30842,100,8/30/14
30842,100,10/25/14
34427,96,8/30/14
34427,100,10/25/14
34409,98,8/30/14
34409,100,10/25/14
34408,98,8/30/14
34408,100,10/25/14
30843,100,8/30/14
30843,93,10/25/14
30843,98,10/25/14
30845,98,8/30/14
30845,98,10/25/14
30844,100,8/30/14
30844,100,10/25/14
34387,100,8/30/14
34387,100,10/25/14
30853,100,8/30/14
30853,100,10/25/14
30859,100,8/30/14
30859,98,10/25/14
30848,100,8/30/14
30848,100,10/25/14
30849,98,10/25/14
30852,98,8/30/14
30852,100,10/25/14
30850,98,8/30/14
30850,100,10/25/14
30864,100,8/30/14
30864,96,10/25/14
30864,100,10/25/14
30857,100,8/30/14
30857,96,10/25/14
30854,100,8/30/14
30854,96,10/25/14
30854,100,10/25/14
34400,95,10/25/14
34400,100,10/25/14
34395,100,10/25/14
30856,100,8/30/14
30856,100,10/25/14
30858,100,8/30/14
30858,98,10/25/14
30847,98,8/30/14
30847,98,10/25/14
30860,94,8/30/14
30860,98,10/25/14
30861,100,8/30/14
30861,100,10/25/14
30862,98,10/25/14
30863,98,8/30/14
30863,99,10/25/14
62888,93,8/30/14
62888,98,8/30/14
62888,100,10/25/14
30851,98,8/30/14
30851,100,10/25/14
62919,98,8/30/14
62919,100,10/25/14
62914,100,10/25/14
62921,100,10/25/14
62920,100,8/30/14
62920,100,10/25/14
62917,98,8/30/14
62917,100,10/25/14
62917,96,10/25/14
62915,98,8/30/14
62915,100,10/25/14
77268,100,8/30/14
77268,93,10/25/14
77268,98,10/25/14
95896,100,8/4/14
95896,100,1/15/15
45419,99,11/4/14
45419,100,5/12/15
32300,99,8/15/14
32300,97,3/30/15
94406,99,6/30/14
94406,100,12/11/14
66680,100,8/22/14
66680,92,2/5/15
66680,100,2/19/15
91928,93,11/5/14
91928,99,11/19/14
73631,98,6/23/14
73631,98,12/12/14
73631,97,5/29/15
59608,99,6/27/14
59608,97,1/23/15
94033,99,6/25/14
94033,98,12/2/14
89763,100,9/26/14
89763,100,4/8/15
69638,96,12/2/14
74907,100,11/7/14
74907,100,1/6/15
92754,95,10/16/14
92754,100,10/16/14
92754,96,4/3/15
92754,100,4/17/15
30960,100,11/20/14
61875,100,10/16/14
61875,96,3/7/15
88313,100,9/22/14
88313,100,3/30/15
97512,100,5/29/15
84101,97,10/24/14
84101,97,4/22/15
30961,99,9/18/14
30961,98,2/10/15
30963,93,10/6/14
30963,97,10/6/14
30963,98,4/1/15
38432,96,10/17/14
38432,97,4/7/15
30965,100,8/26/14
30965,100,1/30/15
95185,95,10/15/14
95185,100,10/15/14
86782,100,7/23/14
86782,100,1/12/15
83911,100,12/1/14
83911,100,5/26/15
79860,100,6/26/14
79860,100,12/23/14
78681,100,12/1/14
30966,99,9/25/14
42866,99,8/7/14
42866,89,1/22/15
42866,97,1/22/15
37333,98,8/27/14
37333,99,2/25/15
88366,100,6/16/14
88366,100,12/26/14
75514,100,9/24/14
75514,99,3/10/15
75632,100,12/11/14
54282,95,10/15/14
54282,99,4/15/15
86161,97,7/7/14
86161,99,12/26/14
86955,98,11/26/14
95452,100,12/9/14
30978,100,12/10/14
31021,94,10/6/14
31021,90,3/13/15
31021,95,3/13/15
63584,85,7/21/14
63584,93,7/21/14
63584,96,8/1/14
63584,91,1/22/15
63584,96,1/22/15
63275,96,7/14/14
63275,93,1/7/15
63275,97,1/7/15
63275,95,1/21/15
63275,100,1/26/15
75722,97,10/13/14
75722,96,4/22/15
47139,90,10/21/14
47139,95,10/21/14
47139,97,5/21/15
30990,100,10/22/14
30990,100,1/23/15
30990,100,2/23/15
87125,100,12/23/14
30995,97,6/30/14
30995,97,12/11/14
30995,98,5/12/15
31491,95,11/3/14
31491,92,4/22/15
31491,97,4/22/15
31494,96,11/21/14
62056,98,6/24/14
62056,98,12/3/14
31615,97,12/2/14
32515,92,11/3/14
32515,95,11/3/14
32515,92,4/9/15
68414,99,6/13/14
68414,100,5/28/15
30743,96,8/7/14
30743,96,1/29/15
95605,100,7/7/14
95605,96,8/8/14
95605,91,1/28/15
95605,96,1/28/15
49294,99,7/22/14
49294,100,1/13/15
31171,99,11/4/14
31171,100,12/30/14
69642,99,6/13/14
69642,95,12/10/14
31006,98,9/8/14
31006,96,1/29/15
31006,98,2/13/15
62841,100,10/16/14
62841,100,4/2/15
31008,95,10/15/14
31008,100,10/15/14
31008,95,4/20/15
47340,98,9/25/14
47340,99,4/7/15
66585,100,7/8/14
66585,100,1/5/15
64029,100,6/18/14
64029,91,11/21/14
64029,100,11/21/14
64029,100,5/11/15
96559,100,11/20/14
96559,100,5/6/15
31016,97,10/2/14
31016,100,3/20/15
65999,98,2/3/15
53940,100,10/3/14
53940,100,3/27/15
61333,100,11/10/14
61333,99,5/8/15
62159,99,11/21/14
62159,99,5/7/15
66256,100,7/28/14
66256,98,1/9/15
56132,94,10/23/14
56132,100,11/19/14
56132,96,5/26/15
32440,98,10/31/14
32440,96,4/30/15
31018,98,7/21/14
31018,100,1/29/15
69332,99,10/24/14
69332,98,4/15/15
72277,98,6/10/14
72277,99,12/16/14
90402,100,5/22/15
37356,100,6/18/14
37356,98,12/15/14
87496,98,11/25/14
84961,97,12/23/14
65669,97,9/9/14
65669,97,3/3/15
67302,100,9/9/14
67302,98,3/3/15
68558,97,9/9/14
68558,98,3/3/15
82346,93,8/22/14
82346,97,8/22/14
82346,98,2/5/15
94470,99,7/29/14
94470,93,2/3/15
94470,98,2/20/15
96334,100,10/14/14
96334,100,3/26/15
55114,99,11/18/14
32022,91,6/26/14
32022,95,12/22/14
96680,100,1/8/15
96680,100,4/29/15
96605,100,11/24/14
31184,98,6/16/14
93827,100,8/4/14
93827,100,1/15/15
97047,100,3/27/15
75036,100,7/3/14
75036,100,12/9/14
31044,100,7/21/14
31044,100,1/8/15
93771,100,3/24/15
69420,100,9/25/14
69420,100,2/5/15
96279,100,8/25/14
96279,96,10/16/14
96279,100,3/24/15
96822,100,1/28/15
97079,100,3/24/15
93443,94,8/7/14
93443,98,8/7/14
76884,99,8/22/14
76884,97,2/26/15
80751,100,10/1/14
80751,96,4/14/15
86918,86,10/21/14
86918,90,10/21/14
31592,95,1/27/15
32479,99,11/26/14
81712,90,6/13/14
81712,95,6/13/14
81712,100,12/19/14
67778,92,7/24/14
67778,91,1/29/15
67778,95,1/29/15
69603,100,8/8/14
69603,100,2/10/15
74015,82,7/30/14
74015,94,8/15/14
74015,94,3/12/15
31012,92,9/12/14
31012,97,9/12/14
31012,97,2/10/15
96866,100,2/4/15
64268,99,6/18/14
64268,100,12/11/14
89752,98,8/18/14
89752,96,2/12/15
62113,100,12/26/14
81390,100,10/28/14
81390,90,5/1/15
81390,94,5/1/15
72708,100,6/18/14
72708,99,11/18/14
96350,98,11/12/14
76396,90,8/7/14
76396,95,8/7/14
76396,99,8/8/14
76396,93,2/25/15
76396,97,2/25/15
86714,100,9/30/14
31624,100,11/25/14
31624,100,3/18/15
87760,100,11/25/14
87760,100,3/18/15
35860,96,8/5/14
35860,98,1/12/15
83768,94,8/13/14
83768,99,8/13/14
83768,93,2/20/15
83768,100,3/12/15
42875,100,10/15/14
42875,98,3/18/15
90818,99,6/30/14
90818,94,12/19/14
60888,98,11/15/14
31073,100,8/12/14
31072,100,8/12/14
31070,100,8/12/14
30942,93,7/21/14
30942,100,1/12/15
47379,76,7/5/14
47379,99,7/17/14
47379,98,12/26/14
47556,98,11/21/14
51962,100,9/9/14
51962,100,1/23/15
75019,100,6/27/14
75019,100,12/11/14
43388,97,12/1/14
35843,87,10/21/14
35843,96,11/4/14
35843,99,4/2/15
31104,100,11/11/14
31104,99,5/18/15
32207,100,11/24/14
32207,100,5/19/15
46590,100,8/15/14
46590,99,1/14/15
50583,97,11/14/14
50583,93,11/14/14
50583,92,4/30/15
50583,96,4/30/15
59209,97,9/15/14
59209,100,9/15/14
59209,99,3/10/15
79784,100,7/1/14
79784,94,12/18/14
79784,98,12/18/14
89403,100,12/1/14
95814,100,7/29/14
95814,98,1/13/15
77652,100,10/16/14
77652,100,4/6/15
54104,100,10/16/14
54104,100,3/19/15
87711,99,6/20/14
87711,93,12/17/14
87711,99,12/19/14
69007,100,11/25/14
91424,90,11/18/14
91424,99,11/18/14
91424,97,5/28/15
95028,100,12/17/14
93629,100,8/18/14
93629,100,2/3/15
90334,100,9/18/14
90334,100,3/16/15
59137,100,7/1/14
59137,100,12/8/14
49093,85,9/29/14
49093,100,10/10/14
49093,97,3/23/15
34094,100,5/1/15
76794,97,6/30/14
76794,98,12/23/14
45420,100,12/8/14
31101,97,9/11/14
31101,91,4/29/15
31101,95,4/29/15
94359,95,10/29/14
94359,99,10/29/14
94359,96,4/16/15
67306,100,9/9/14
67306,100,2/9/15
31613,100,10/8/14
31613,100,4/21/15
31129,100,10/14/14
31129,100,2/27/15
31127,100,10/13/14
31127,95,5/12/15
31127,99,5/12/15
64667,100,8/15/14
64667,98,11/25/14
64667,99,5/7/15
30790,91,6/11/14
30790,96,6/11/14
30790,99,12/17/14
70021,99,11/26/14
70021,100,5/21/15
31133,100,9/25/14
31133,100,3/17/15
96977,100,3/17/15
86549,100,7/1/14
86549,100,12/17/14
85020,100,9/23/14
85020,100,3/16/15
92801,100,10/1/14
92801,100,4/8/15
64102,98,7/3/14
64102,97,12/2/14
48510,99,10/24/14
48510,100,4/30/15
44790,99,6/26/14
44790,98,12/18/14
31144,100,9/30/14
31144,100,2/6/15
31144,100,5/21/15
94895,100,9/9/14
94895,100,2/27/15
63610,100,11/7/14
63610,100,4/6/15
65285,97,10/28/14
65285,90,4/13/15
65285,98,4/13/15
31637,100,11/25/14
31637,98,3/18/15
32222,100,11/11/14
32222,92,5/5/15
32222,100,5/15/15
42487,90,11/26/14
42487,94,11/26/14
42487,98,5/26/15
93421,99,6/26/14
93421,96,12/16/14
59210,95,6/27/14
59210,99,6/27/14
59210,97,10/1/14
59210,97,3/23/15
66606,95,8/28/14
66606,95,2/26/15
48160,87,6/26/14
48160,97,7/9/14
48160,89,12/9/14
48160,98,12/22/14
62652,99,7/30/14
62652,99,1/22/15
75079,100,6/20/14
75079,100,12/23/14
84546,95,7/26/14
84546,99,7/26/14
84546,99,1/12/15
70989,100,11/18/14
68357,100,9/15/14
68357,100,2/27/15
90207,100,11/5/14
90207,100,4/17/15
92948,100,7/23/14
92948,100,12/29/14
97492,100,5/13/15
74801,99,11/24/14
32459,100,8/13/14
32459,100,1/29/15
96673,100,12/15/14
31180,96,8/21/14
31180,93,2/3/15
31180,98,2/3/15
48520,95,9/25/14
48520,97,3/17/15
96491,100,5/1/15
31626,100,11/25/14
31626,99,3/18/15
82657,99,11/25/14
82657,100,3/18/15
82656,100,11/25/14
82656,100,3/18/15
38434,98,7/1/14
31187,98,11/3/14
31187,92,4/29/15
31187,97,4/29/15
64695,98,8/7/14
64695,100,1/15/15
96281,100,8/25/14
96281,98,9/23/14
96281,98,4/16/15
63834,100,11/25/14
32962,99,11/25/14
30691,90,9/25/14
30691,99,9/25/14
30691,99,3/31/15
33185,98,7/16/14
33185,99,1/13/15
92183,98,7/23/14
92183,99,1/14/15
88877,99,9/25/14
88877,98,3/12/15
68007,98,10/16/14
68007,100,4/9/15
55660,100,8/7/14
55660,100,1/30/15
33007,93,7/15/14
33007,92,1/5/15
64988,100,10/23/14
64988,100,5/12/15
88808,100,11/21/14
71769,96,6/24/14
71769,99,12/18/14
68804,100,6/23/14
68804,100,12/9/14
57694,98,6/24/14
57694,98,12/30/14
31651,98,10/1/14
31651,98,3/11/15
62853,100,1/9/15
78765,85,8/19/14
78765,90,8/19/14
78765,89,2/3/15
38575,93,10/20/14
38575,97,10/20/14
87249,89,12/18/14
87249,94,12/18/14
31197,96,8/18/14
31197,97,2/6/15
31198,99,7/3/14
31198,92,12/3/14
31198,99,12/3/14
31198,96,12/3/14
31284,99,7/17/14
31284,98,1/8/15
31287,100,8/21/14
31287,100,2/12/15
64432,97,9/8/14
64432,100,3/2/15
31770,97,11/13/14
31770,99,4/21/15
92623,99,8/22/14
92623,99,2/27/15
31295,100,10/17/14
31295,100,3/13/15
90782,100,12/23/14
31114,99,4/8/15
94973,100,9/17/14
94973,100,2/27/15
96932,100,2/23/15
64591,100,6/23/14
64591,94,12/2/14
64591,98,12/2/14
32443,100,10/16/14
32443,100,4/30/15
62083,99,12/1/14
32196,97,6/10/14
32196,93,12/4/14
32196,97,12/4/14
31309,100,12/1/14
79638,100,8/7/14
79638,97,1/28/15
79638,100,1/28/15
81432,99,7/8/14
81432,100,1/15/15
96983,100,5/11/15
31350,100,6/25/14
31350,100,12/23/14
95454,100,7/7/14
95454,100,11/21/14
95454,100,5/29/15
74525,100,5/21/15
68322,100,7/7/14
68322,96,1/2/15
68322,100,1/2/15
36806,98,10/13/14
36806,96,3/25/15
45280,98,9/4/14
45280,97,3/3/15
65316,97,6/30/14
65316,96,12/16/14
65316,100,12/16/14
59335,99,6/30/14
59335,97,12/11/14
95369,95,11/10/14
95369,90,5/5/15
95369,98,5/18/15
31361,88,6/13/14
31361,93,6/13/14
31361,96,12/22/14
67893,91,12/10/14
67893,96,12/10/14
94256,94,12/22/14
36200,100,7/3/14
36200,100,12/12/14
31367,72,9/5/14
31367,90,9/5/14
31367,96,3/11/15
78800,100,3/27/15
71881,99,12/8/14
31369,90,12/8/14
69226,95,6/9/14
69226,99,6/9/14
69226,98,12/12/14
31465,100,8/26/14
31465,99,4/7/15
31467,97,6/18/14
31467,100,8/26/14
75988,96,8/8/14
75988,98,2/20/15
31469,98,8/27/14
31469,100,2/3/15
31469,100,2/27/15
38744,97,1/23/15
36232,100,11/13/14
36232,97,4/28/15
36232,100,4/28/15
